name,use,availability
Bellowing Dragoncrest Ring,Boosts Sorcery & Pyromancy damage,Sold by Griggs of Vinheim
Bloodbite Ring,+400% Bleed Resistance,Sold by Oswald of Carim
Blue Tearstone Ring,+50% Defenses when HP is below 20%,Undead Burg treasure
Calamity Ring,Doubles damage taken by wearer,Additional Content . Defeat Black Dragon Kalameet
Cat Covenant Ring,Answer Alvina's summoning,Join Forest Hunter covenant
Cloranthy Ring,+20 points of Stamina Regeneration(~45% more than base),The Great Hollow treasure
Covenant Of Artorias,Traverse The Abyss,"Defeat Sif, the Great Grey Wolf"
Covetous Gold Serpent Ring,+200 Item Discovery,Sen's Fortress treasure
Covetous Silver Serpent Ring,+20% Souls gained,Tomb of the Giants treasure
Cursebite Ring,+400% Curse Resistance,New Londo Ruins treasure
Darkmoon Blade Covenant Ring,Answer Dark Sun Gwyndolin's summoning,Join Blade of the Darkmoon covenant
Darkmoon Seance Ring,+1 Attunement slot,Catacombs treasure
Dark Wood Grain Ring,Flip instead of roll when under 25% equip load,Shiva of the East's bodyguard drop
Dusk Crown Ring,"+50% cast to Sorceries , Pyromancies , and Miracles , but halves HP",Darkroot Basin Hydra drop
East Wood Grain Ring,Slows loss of weapon durability by half,Shiva of the East Merchant
Flame Stoneplate Ring,+50 Fire Defense,Sen's Fortress treasure
Havel's Ring,+50% Max Equip,Havel the Rock drop
Hawk Ring,+65 Bow Dist Rate,Anor Londo treasure
Hornet Ring,+30% Critical Damage,"Sif, the Great Grey Wolf area treasure"
Leo Ring,+40% Counter damage with Pierce Weapons,Dragon Slayer Ornstein drop
Lingering Dragoncrest Ring,Boosts length of sorcery effects,Sold by Griggs of Vinheim
Old Witch's Ring,Lets you understand Quelaag's Sister,Starting Gift Snuggly the Crow trade
Orange Charred Ring,Reduces lava damage,Centipede Demon drop
Poisonbite Ring,+400% Poison Resistance,Sold by Oswald of Carim
Rare Ring of Sacrifice,"Lose nothing upon death and removes curse, but ring breaks",Sen's Fortress treasure New Londo Ruins treasure Lost Izalith treasure Snuggly the Crow trade
Red Tearstone Ring,+50% damage when HP is below 20%,Valley of the Drakes treasure
Ring of Favor and Protection,"+20% to Max HP, Max Stamina and Max Equip, but breaks when removed",Knight Lautrec of Carim drop Snuggly the Crow trade
Ring of Fog,Makes you semi-transparent and harder for enemies to see and follow,Forest Hunter Covenant gift (Level 2) Snuggly the Crow trade
Ring of Sacrifice,"Lose nothing upon death, but ring breaks",Firelink Shrine treasure Painted World of Ariamis treasure Sold by Oswald of Carim Snuggly the Crow trade
Ring of Steel Protection,"+50 Strike, Slash, and Thrust Defense",Sen's Fortress treasure
Ring of the Evil Eye,Gain 30 HP from fallen enemies,The Depths treasure
Ring of the Sun's Firstborn,Boosts offensive Miracle damage,Anor Londo treasure
Ring of the Sun Princess,Boosts Miracle Synergy,Join Princess's Guard Covenant
Rusted Iron Ring,Unimpeded movement in water,Undead Asylum treasure
Slumbering Dragoncrest Ring,Wearer generates no sound,Sen's Fortress treasure Griggs of Vinheim drop
Speckled Stoneplate Ring,"+25 Magic, Fire, and Lightning Defense",Siegmeyer of Catarina drop/gift
Spell Stoneplate Ring,+50 Magic Defense,Sold by the Crestfallen Merchant
Thunder Stoneplate Ring,+50 Lightning Defense,Sold by the Crestfallen Merchant
Tiny Being's Ring,+5% Max HP,Starting Gift Siegmeyer of Catarina gift
White Seance Ring,+1 Attunement slot,The Duke's Archives treasure
Wolf Ring,+40 Poise,Darkroot Garden treasure
