name,use,availability
Estus Flask,Recover HP,"Oscar, Knight of Astora gift"
Elizabeth's Mushroom,Temporary HP Boost,Found on a corpse in Royal Wood Recieved / dropped from Elizabeth
Bloodred Moss Clump,Reduces bleed build-up Snuggly the Crow trade,Demonic Foliage drop Sold by Undead Merchant Female
Purple Moss Clump,Reduces poison build-up Snuggly the Crow trade,Demonic Foliage drop Blowdart Sniper drop Sold by Undead Merchant Female
Blooming Purple Moss Clump,Reduces poison and toxin build-up Snuggly the Crow trade,Demonic Foliage drop Blowdart Sniper drop Sold by Undead Merchant Female
Divine Blessing,Restores all HP and removes negative status effects,Gift Sold by Rhea of Thorolund after saving her Forest Hunter Covenant gift (Level 1) Lost Izalith treasure Sen's Fortress treasure
Egg Vermifuge,Removes egg parasite from character Snuggly the Crow trade,Tree Lizard drop Sold by Eingyi drop Egg Carrier drop Painted World Of Ariamis treasure Eingyi drop
Green Blossom,Temporary boost to stamina recovery,Frog-Ray drop Sold by the Crestfallen Merchant
Purging Stone,Removes curse from character,Sold by Oswald of Carim Sold by Undead Merchant Female Snuggly the Crow trade Man Eater Shell drop
Firebomb,Projectile that deals fire damage,Sold by Undead Merchant Male Undead Burg treasure Undead Soldier drop
Black Firebomb,Strong projectile that deals fire damage,Gift Undead Burg treasure Sold by the Crestfallen Merchant
Dung pie,Builds up toxin to player and targeted enemy Snuggly the Crow trade,Sold by Undead Merchant Female Infested Barbarian drop
Throwing Knife,Weak physical damage projectile,Sold by Undead Merchant Male Undead Burg treasure Painting Guardian drop
Poison Throwing Knife,Weak physical damage projectile with poison build-up on targeted enemy,Sold by Undead Merchant Female Undead Burg treasure
Charcoal Pine Resin,Apply set fire damage to right-hand weapon,Sold by Undead Merchant Female
Gold Pine Resin,Apply set lightning damage to right-hand weapon,Undead Burg treasure Darkroot Garden treasure Sold by Domhnall of Zena Mushroom parent drop Mushroom child drop
Rotten Pine Resin,Apply poison build-up to right-hand weapon,Sold by Undead Merchant Female
Fire Keeper Soul,Consume for 5 Humanity or Upgrade effectiveness of Estus Flask,Undead Parish treasure New Londo Ruins treasure Blighttown treasure The Duke's Archives treasure Knight Lautrec of Carim drop (if he kills Anastacia of Astora ) Lady of the Darkling drop Quelaag's Sister drop
Soul of a Lost Undead,Consume for 200 souls 1,Various locations
Large Soul of a Lost Undead,Consume for 400 souls 2,Various locations
Soul of a Nameless Soldier,Consume for 800 souls,Various locations
Large Soul of a Nameless Soldier,Consume for 1000 souls,Various locations
Soul of a Proud Knight,Consume for 2000 souls,Various locations
Large Soul of a Proud Knight,Consume for 3000 souls,Various locations
Soul of a Brave Warrior,Consume for 5000 souls,Various locations
Large Soul of a Brave Warrior,Consume for 8000 souls,Various locations
Soul of a Hero,Consume for 10000 souls,Various locations
Soul of a Great Hero,Consume for 20000 souls,Various locations
Soul of the Moonlight Butterfly,Consume for 1200 souls 3 or Craft Crystal Ring Shield or Craft Moonlight Butterfly Horn,Defeat the Moonlight Butterfly
Soul of Quelaag,Consume for 8000 souls 4 or Craft Quelaag's Furysword or Craft Chaos Blade,Defeat Chaos Witch Quelaag
Core of an Iron Golem,Consume for 12000 souls or Craft Golem Axe or Craft Dragon Bone Fist,Defeat Iron Golem
Soul of Ornstein,Consume for 12000 souls or Craft Dragonslayer Spear,Defeat Dragon Slayer Ornstein
Soul of Smough,Consume for 12000 souls or Craft Smough's Hammer,Defeat Executioner Smough
Soul of Priscilla,Consume for 12000 souls 5 or Craft Lifehunt Scythe,Defeat Crossbreed Priscilla
Guardian Soul,Consume for 12000 souls,Defeat Sanctuary Guardian
Soul of Sif,Consume for 16000 souls or Craft Greatsword of Artorias or Craft Greatsword of Artorias (Cursed) or Craft Greatshield of Artorias,"Defeat Sif, the Great Grey Wolf"
Soul of Gwyndolin,Consume for 16000 souls 6 or Craft Darkmoon Bow or Craft Tin Darkmoon Catalyst,Defeat Dark Sun Gwyndolin
Soul of Artorias,Consume for 16000 souls or Craft Abyss Greatsword or Trade for Gold Tracer and Dark Silver Tracer,Defeat Knight Artorias
Soul of Manus,Consume for 18000 souls or Craft Manus Catalyst or Trade for Pursuers,"Defeat Manus, Father of The Abyss"
"Soul of Gwyn, Lord of Cinder",Consume for 20000 souls 7 or Craft Great Lord Greatsword or Trade for Sunlight Spear,"Defeat Gwyn, Lord of Cinder"
Alluring Skull,"Attracts some enemies, but not all types",Sold by Undead Merchant (Female) Undead Parish treasure
Binoculars,See far away places,Gift Firelink Shrine treasure
Copper Coin,Feed Kingseeker Frampt for 1000 Souls,Petrus of Thorolund gift
Cracked Red Eye Orb,Invade another world (must be in human form) Snuggly the Crow trade,Firelink Shrine treasure New Londo Ruins treasure Sold by Darkstalker Kaathe
Darksign,Returns to last bonfire at the cost of all souls and humanity,Held at the beginning of the game.
Gold Coin,Feed Kingseeker Frampt for 5000 souls.,Painted World Of Ariamis Mimic drop
Humanity,+1 Humanity & restores HP Reverse hollow form Kindle Bonfires,Enemy drop and treasure in various locations Sold by Patches (3 only) Sold by Undead Merchant (Female) (1 only)
Homeward Bone,Return to the last bonfire used,Firelink Shrine treasure Bosses drop Sold by Undead Merchant (Female) Sold by Vamos
Lloyd's Talisman,Prevent enemy HP recovery,Firelink Shrine treasure Sold by Undead Merchant (Male)
Pendant,Snuggly the Crow trade,Starting Gift Rhea of Thorolund drop Forest Hunter reward
Prism Stone,Path marker. Drop and listen to check heights Snuggly the Crow trade,Sold by Undead Merchant (Female) Sold by Patches
Repair Powder,Repair right-hand weapon,Sold by Undead Merchant (Male)
Rubbish,Snuggly the Crow trade,Undead Burg treasure Forest Hunter invasion reward
Silver Coin,Feed Kingseeker Frampt for 3000 Souls,Anor Londo castle Mimic drop
Silver Pendant,Deflect Dark Magic,Oolacile Township treasure
Transient Curse,Attack Ghosts for a limited time,Sold by Undead Merchant (Female) Sold by Ingward Ghost drop
Twin Humanities,+2 Humanity Snuggly the Crow trade,Gift Undead Burg treasure Lower Undead Burg treasure The Great Hollow treasure Lost Izalith treasure Blighttown treasure Sold by Patches (1 only)
