name,damage reduction,stability (max),durability,weight,stats needed/bonuses,availability,special notes
Buckler,76/32/65/53,40 (50),140,1.5,7/13/0/0 D/-/-/-,Balder Knight drop Sold by the Undead Merchant (Male),Parry has unique animation that has longer parrying window.
Caduceus Round Shield,85/65/30/65,40 (50),180,1.0,6/0/0/0 D/-/-/-,Firelink Shrine treasure,-
Cracked Round Shield,65/55/10/45,30 (37),60,1.0,6/0/0/0 D/-/-/-,Starting shield for the Pyromancer class Hollow drop,-
Effigy Shield,90/40/70/90,45 (56),180,3.0,10/0/0/16 D/-/-/-,Tomb of the Giants treasure,Slower parry recovery equivalent to Normal Shields
Leather Shield,85/35/60/60,45 (56),200,1.0,6/0/0/0 D/-/-/-,Starting shield for the Wanderer class Sold by the Undead Merchant (Male),-
Plank Shield,75/40/20/55,45 (56),120,1.5,7/0/0/0 D/-/-/-,Starting shield for the Deprived class Blighttown treasure,-
Red and white round shield,85/65/30/64,40 (50),180,1.0,6/0/0/0 D/-/-/-,Skeleton drop,-
Small Leather Shield,80/35/60/60,40 (50),200,0.5,5/0/0/0 D/-/-/-,Starting shield for the Sorcerer class Sold by the Undead Merchant (Male),-
Target Shield,78/30/65/50,45 (56),150,2.0,8/11/0/0 D/-/-/-,Starting shield for the Thief class Undead Burg treasure Undead Assassin drop,Parry has unique animation that has longer parrying window.
Warrior's Round Shield,85/65/30/65,40 (50),180,1.0,6/0/0/0 D/-/-/-,Sold by the Undead Merchant (Male),-
Balder Shield,100/20/60/50,63 (75),220,4.0,12/0/0/0 D/-/-/-,Sold by Crestfallen merchant Balder Knight drop,-
Black Knight Shield,100/25/95/65,62 (74),250,6.0,16/0/0/0 D/-/-/-,Black Knight drop,-
Bloodshield,100/30/70/50,53 (66),240,3.0,10/0/0/0 D/-/-/-,Painted World of Ariamis treasure,"Increase Bleed , Poison and Curse Resistance"
Caduceus Kite Shield,100/30/70/50,58 (72),250,3.0,10/0/0/0 D/-/-/-,Sold by Andre of Astora Undead Crystal Soldier drop,"Shape and stat-wise, identical to the Tower Kite Shield"
Crest Shield,100/80/55/45,55 (66),300,3.0,10/0/0/0 D/-/-/-,"Oscar, Knight of Astora drop",-
Dragon Crest Shield,100/20/85/45,55 (66),300,3.0,10/0/0/0 D/-/-/-,"Valley of Drakes treasure, near the Undead Dragon",-
East-West Shield,88/40/30/65,44 (55),160,1.0,6/0/0/0 D/-/-/-,Starting shield for the Cleric class Sold by Undead Merchant Male,-
Gargoyle's Shield,85/40/75/70,56 (70),300,4.0,12/0/0/0 D/-/-/-,Anor Londo Gargoyle drop Bell Gargoyles drop,-
Grass Crest Shield,95/42/70/50,51 (63),200,3.0,10/0/0/0 D/-/-/-,Bottom of the cliff side in Darkroot Basin,Increases Stamina regen by 10 per second
Heater Shield,100/30/70/50,55 (68),250,2.0,8/0/0/0 D/-/-/-,Starting shield for the Warrior class Sold by the Undead Merchant (Male),Faster parry recovery equivalent to Small Shields
Hollow Soldier Shield,100/30/65/50,56 (70),250,3.5,11/0/0/0 D/-/-/-,Undead Soldier drop,-
Iron Round Shield,100/30/72/46,55 (68),280,5.0,14/0/0/0 D/-/-/-,Shiva of the East drop,Deflects attacks like a Greatshield while can still be used to parry
Knight Shield,100/30/60/40,56 (70),200,5.5,10/0/0/0 D/-/-/-,Undead Parish treasure,-
