name,use,availability
Black Separation Crystal,Host can banish any friendly Phantoms or Phantom can leave Host World,Default equip
Orange Guidance Soapstone,Write/Rate messages,Sold by Male Undead Merchant .
Purple Coward's Crystal,Exit battle,Automatic addition on entering the Battle of Stoicism
Red Sign Soapstone,Drop a Red Soul Sign to be summoned as a hostile Phantom,Treasure in the Painted World of Ariamis
White Sign Soapstone,Drop a White Soul Sign to be summoned as a friendly Phantom,Solaire of Astora gift
Black Eye Orb,Invade the world of Lautrec of Carim as a hostile Phantom,Treasure on the corpse of Anastacia in the Firelink Shrine
Blue Eye Orb,Invade the world of a player listed in the Book of the Guilty as a hostile Blue Phantom,Blade of the Darkmoon Covenant gift
Cracked Red Eye Orb,Invade another World as a hostile Red Phantom Consumed upon use,Sold by Darkstalker Kaathe Firelink Shrine treasure New Londo Ruins treasure
Red Eye Orb,Invade another World as a hostile Red Phantom Unlimited use,Join the Darkwraith Covenant
Dragon Eye,Path of the Dragon Covenant members can hunt for Dragon Scales by hostile invasion,Join the Path of the Dragon Covenant
Dragon Head Stone,Appear to have a Dragon's head and breathe fire,Join the Path of the Dragon Covenant
Dragon Torso Stone,Appear to have a Dragon's torso and cast the Force Miracle,Gift to favored Path of the Dragon Covenant members
Eye of Death,"Used to join and rank up in the Gravelord Servant Covenant , see page for details",Killing blue phantom as a member of Gravelord Servant Covenant Basilisk drop The Catacombs treasure Tomb of the Giants treasure Sold by Patches
Souvenir of Reprisal,Gain favor in the Blade of the Darkmoon Covenant,Killing sinner as a member of Blade of the Darkmoon Covenant Crow Demon drop Snuggly the Crow trade Kill Knight Lautrec of Carim after invading him with the Black Eye Orb. Hostile Phantoms drop when using the Blue Eye Orb
Sunlight Medal,Upgrade your Warrior of Sunlight Covenant level Trade with Snuggly the Crow,Knight Lautrec Of Carim and Solaire of Astora reward Anor Londo treasure Gold Phantom Boss kill award Chaos Bug drop
Hello Carving,Verbal gesture - says the word 'Hello' when used,Sold by Hawkeye Gough
Very Good! Carving,Verbal gesture - says the word 'Very Good!' when used,Dropped by the Mimic in the Oolacile Township
Thank You Carving,Verbal gesture - says the word 'Thank you' when used,Sold by Hawkeye Gough
I'm Sorry Carving,Verbal gesture - says the word 'I'm Sorry' when used,Dropped by Bloathead Sorcerer in Oolacile Township
Help Me! Carving,Verbal gesture - says the word 'Help Me!' when used,Chasm of the Abyss treasure
Book of the Guilty,View a list of other players who have sinned Blade of the Darkmoon Covenant hit list,Sold by Oswald of Carim
Dried Finger,Reduces time between hostile invasions of your world,Painted World Of Ariamis treasure
Indictment,"When killed by a hostile phantom, use to add their name to the Book of the Guilty",Sold by Oswald of Carim
Servant Roster,Lists the members of the Chaos Servant Covenant along with the humanity each of them has sacrificed,Sold by Eingyi
